#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC1	ABCG2	9606.ENSP00000382342	9606.ENSP00000498246	0	0	0	0	0.057	0.100	0	0.968	0.971
CXCL2	RELA	9606.ENSP00000427279	9606.ENSP00000384273	0	0	0	0	0.055	0.292	0.900	0.380	0.953
CXCL2	IL6	9606.ENSP00000427279	9606.ENSP00000385675	0	0	0	0	0.639	0	0.400	0.855	0.966
CXCL2	TNF	9606.ENSP00000427279	9606.ENSP00000398698	0	0	0	0	0.292	0	0.400	0.844	0.928
CXCL8	IFNG	9606.ENSP00000306512	9606.ENSP00000229135	0	0	0.281	0	0.152	0	0	0.942	0.961
CXCL8	IL4	9606.ENSP00000306512	9606.ENSP00000231449	0	0	0	0	0.049	0	0.400	0.996	0.997
CXCL8	IL1A	9606.ENSP00000306512	9606.ENSP00000263339	0	0	0	0	0.451	0	0.400	0.928	0.974
CXCL8	IL1B	9606.ENSP00000306512	9606.ENSP00000263341	0	0	0	0	0.776	0	0.400	0.962	0.994
CXCL8	ICAM1	9606.ENSP00000306512	9606.ENSP00000264832	0	0	0	0	0.259	0	0	0.927	0.943
CXCL8	IL10	9606.ENSP00000306512	9606.ENSP00000412237	0	0	0	0	0.147	0	0.400	0.946	0.970
CXCL8	PTGS2	9606.ENSP00000306512	9606.ENSP00000356438	0	0	0	0	0.767	0	0	0.901	0.975
CXCL8	TNF	9606.ENSP00000306512	9606.ENSP00000398698	0	0	0	0	0.294	0	0.400	0.965	0.983
CXCL8	IL6	9606.ENSP00000306512	9606.ENSP00000385675	0	0	0	0	0.445	0	0.400	0.976	0.991
CXCL8	RELA	9606.ENSP00000306512	9606.ENSP00000384273	0	0	0	0	0.062	0.785	0.900	0.820	0.995
CYP19A1	SULT1E1	9606.ENSP00000379683	9606.ENSP00000226444	0	0	0	0	0.050	0	0.900	0.608	0.959
CYP19A1	ESR2	9606.ENSP00000379683	9606.ENSP00000343925	0	0	0	0	0.048	0.056	0	0.923	0.925
CYP19A1	CYP1A1	9606.ENSP00000379683	9606.ENSP00000378488	0	0	0.251	0.567	0	0.052	0.913	0.334	0.953
CYP19A1	ESR1	9606.ENSP00000379683	9606.ENSP00000405330	0	0	0	0	0.042	0.056	0	0.925	0.927
CYP19A1	CYP3A4	9606.ENSP00000379683	9606.ENSP00000498939	0	0	0.248	0.580	0.042	0.062	0.909	0.307	0.950
CYP1A1	SULT1E1	9606.ENSP00000378488	9606.ENSP00000226444	0	0	0	0	0.086	0	0.900	0.479	0.948
CYP1A1	GSTM2	9606.ENSP00000378488	9606.ENSP00000241337	0	0	0	0	0.067	0.045	0.900	0.482	0.947
CYP1A1	GSTM1	9606.ENSP00000378488	9606.ENSP00000311469	0	0	0	0	0.067	0.045	0.900	0.918	0.991
CYP1A1	CYP1A2	9606.ENSP00000378488	9606.ENSP00000342007	0	0	0.053	0.975	0.081	0	0.913	0.419	0.950
CYP1A1	CYP1B1	9606.ENSP00000378488	9606.ENSP00000478561	0	0	0.095	0.889	0.135	0	0.913	0.177	0.937
CYP1A1	GSTP1	9606.ENSP00000378488	9606.ENSP00000381607	0	0	0	0	0.109	0.045	0.900	0.735	0.974
CYP1A1	CYP3A4	9606.ENSP00000378488	9606.ENSP00000498939	0	0	0.233	0.604	0.117	0.076	0.909	0.810	0.987
CYP1A2	GSTM2	9606.ENSP00000342007	9606.ENSP00000241337	0	0	0	0	0.068	0.045	0.900	0.380	0.937
CYP1A2	GSTM1	9606.ENSP00000342007	9606.ENSP00000311469	0	0	0	0	0.067	0.045	0.900	0.608	0.960
CYP1A2	CYP1B1	9606.ENSP00000342007	9606.ENSP00000478561	0	0	0.101	0.877	0.095	0	0.913	0.205	0.936
CYP1A2	GSTP1	9606.ENSP00000342007	9606.ENSP00000381607	0	0	0	0	0.109	0.045	0.900	0.585	0.960
CYP1A2	CYP3A4	9606.ENSP00000342007	9606.ENSP00000498939	0	0	0.233	0.604	0.250	0.076	0.909	0.442	0.968
CYP1B1	GSTM2	9606.ENSP00000478561	9606.ENSP00000241337	0	0	0	0	0.067	0.045	0.900	0.481	0.947
CYP1B1	GSTM1	9606.ENSP00000478561	9606.ENSP00000311469	0	0	0	0	0.067	0.045	0.900	0.625	0.962
CYP1B1	GSTP1	9606.ENSP00000478561	9606.ENSP00000381607	0	0	0	0	0.109	0.045	0.900	0.722	0.973
CYP3A4	SULT1E1	9606.ENSP00000498939	9606.ENSP00000226444	0	0	0	0	0.137	0	0.900	0.435	0.947
CYP3A4	GSTM2	9606.ENSP00000498939	9606.ENSP00000241337	0	0	0	0	0.089	0	0.900	0.476	0.948
CYP3A4	GSTM1	9606.ENSP00000498939	9606.ENSP00000311469	0	0	0	0	0.093	0	0.900	0.574	0.958
CYP3A4	NR1I2	9606.ENSP00000498939	9606.ENSP00000336528	0	0	0	0	0.162	0.071	0	0.955	0.962
CYP3A4	GSTP1	9606.ENSP00000498939	9606.ENSP00000381607	0	0	0	0	0.142	0	0.900	0.750	0.976
DRD2	SLC6A4	9606.ENSP00000354859	9606.ENSP00000261707	0	0	0	0	0.054	0	0	0.908	0.910
E2F1	MDM2	9606.ENSP00000345571	9606.ENSP00000258149	0	0	0	0	0	0.625	0	0.980	0.992
E2F1	RB1	9606.ENSP00000345571	9606.ENSP00000267163	0	0	0	0	0.067	0.999	0.900	0.995	0.999
E2F1	TP53	9606.ENSP00000345571	9606.ENSP00000269305	0	0	0	0	0	0.510	0	0.974	0.986
E2F1	MYC	9606.ENSP00000345571	9606.ENSP00000478887	0	0	0	0	0.084	0.166	0.500	0.990	0.995
EGF	KDR	9606.ENSP00000265171	9606.ENSP00000263923	0	0	0	0	0	0	0.650	0.802	0.928
EGF	STAT3	9606.ENSP00000265171	9606.ENSP00000264657	0	0	0	0	0	0	0	0.907	0.907
EGF	MET	9606.ENSP00000265171	9606.ENSP00000317272	0	0	0	0	0	0	0.650	0.851	0.945
EGF	INSR	9606.ENSP00000265171	9606.ENSP00000303830	0	0	0	0	0	0.062	0.900	0.695	0.968
EGF	EGFR	9606.ENSP00000265171	9606.ENSP00000275493	0	0	0	0	0.128	0.999	0.900	0.999	0.999
EGFR	STAT3	9606.ENSP00000275493	9606.ENSP00000264657	0	0	0	0	0.042	0.925	0	0.985	0.998
EGFR	TP53	9606.ENSP00000275493	9606.ENSP00000269305	0	0	0	0	0	0.329	0	0.919	0.943
EGFR	PRKCA	9606.ENSP00000275493	9606.ENSP00000408695	0	0	0	0.562	0.049	0.788	0	0.693	0.932
EGFR	HIF1A	9606.ENSP00000275493	9606.ENSP00000437955	0	0	0	0	0.055	0	0.500	0.873	0.934
EGFR	FOS	9606.ENSP00000275493	9606.ENSP00000306245	0	0	0	0	0.086	0.591	0.400	0.765	0.940
EGFR	STAT1	9606.ENSP00000275493	9606.ENSP00000354394	0	0	0	0	0.042	0.840	0	0.851	0.975
EGFR	IL6	9606.ENSP00000275493	9606.ENSP00000385675	0	0	0	0	0.042	0	0.650	0.943	0.979
EGFR	IGFBP3	9606.ENSP00000275493	9606.ENSP00000370473	0	0	0	0	0.169	0.292	0	0.971	0.981
EGFR	ESR1	9606.ENSP00000275493	9606.ENSP00000405330	0	0	0	0	0	0.583	0	0.974	0.988
EGFR	MET	9606.ENSP00000275493	9606.ENSP00000317272	0	0	0	0.582	0.250	0.806	0	0.978	0.996
EGFR	HSP90AA1	9606.ENSP00000275493	9606.ENSP00000335153	0	0	0	0	0.049	0.854	0.500	0.993	0.999
ESR1	MAPK1	9606.ENSP00000405330	9606.ENSP00000215832	0	0	0	0	0	0.625	0.900	0.681	0.987
ESR1	MAPK14	9606.ENSP00000405330	9606.ENSP00000229795	0	0	0	0	0	0	0.900	0.561	0.954
ESR1	MDM2	9606.ENSP00000405330	9606.ENSP00000258149	0	0	0	0	0.042	0.785	0	0.762	0.946
ESR1	MAPK3	9606.ENSP00000405330	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0.824	0.981
ESR1	STAT3	9606.ENSP00000405330	9606.ENSP00000264657	0	0	0	0	0.042	0.476	0	0.873	0.930
ESR1	TP53	9606.ENSP00000405330	9606.ENSP00000269305	0	0	0	0	0	0.735	0	0.974	0.992
ESR1	FOS	9606.ENSP00000405330	9606.ENSP00000306245	0	0	0	0	0.044	0.522	0.900	0.994	0.999
ESR1	HSP90AA1	9606.ENSP00000405330	9606.ENSP00000335153	0	0	0	0	0.054	0.889	0.500	0.988	0.999
ESR1	ESR2	9606.ENSP00000405330	9606.ENSP00000343925	0	0	0.062	0.923	0.042	0.830	0.900	0.934	0.998
ESR1	STAT1	9606.ENSP00000405330	9606.ENSP00000354394	0	0	0	0	0.043	0.304	0.500	0.775	0.915
ESR1	RUNX2	9606.ENSP00000405330	9606.ENSP00000360493	0	0	0	0	0.056	0.071	0.750	0.770	0.942
ESR1	MAPK8	9606.ENSP00000405330	9606.ENSP00000378974	0	0	0	0	0	0	0.900	0.659	0.964
ESR1	RELA	9606.ENSP00000405330	9606.ENSP00000384273	0	0	0	0	0	0.787	0	0.904	0.978
ESR1	HIF1A	9606.ENSP00000405330	9606.ENSP00000437955	0	0	0	0	0.067	0.636	0	0.861	0.948
ESR1	MYC	9606.ENSP00000405330	9606.ENSP00000478887	0	0	0	0	0.053	0.620	0.500	0.913	0.982
ESR2	MAPK1	9606.ENSP00000343925	9606.ENSP00000215832	0	0	0	0	0	0.292	0.900	0.332	0.948
ESR2	MAPK14	9606.ENSP00000343925	9606.ENSP00000229795	0	0	0	0	0	0	0.900	0.247	0.921
ESR2	MAPK3	9606.ENSP00000343925	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0.577	0.955
ESR2	FOS	9606.ENSP00000343925	9606.ENSP00000306245	0	0	0	0	0	0.095	0.900	0.611	0.961
ESR2	MAPK8	9606.ENSP00000343925	9606.ENSP00000378974	0	0	0	0	0	0	0.900	0.269	0.923
F3	PLAT	9606.ENSP00000334145	9606.ENSP00000220809	0	0	0	0	0.169	0	0	0.922	0.932
F3	SERPINE1	9606.ENSP00000334145	9606.ENSP00000223095	0	0	0	0	0.168	0	0	0.887	0.902
F3	THBD	9606.ENSP00000334145	9606.ENSP00000366307	0	0	0	0	0.075	0	0.540	0.963	0.982
F3	F7	9606.ENSP00000334145	9606.ENSP00000364731	0	0	0	0	0	0.987	0.900	0.999	0.999
F7	THBD	9606.ENSP00000364731	9606.ENSP00000366307	0	0	0	0	0	0.094	0.540	0.872	0.942
FOS	MAPK1	9606.ENSP00000306245	9606.ENSP00000215832	0	0	0	0	0.055	0.450	0.900	0.864	0.992
FOS	MAPK14	9606.ENSP00000306245	9606.ENSP00000229795	0	0	0	0	0.067	0.256	0.900	0.814	0.985
FOS	MAPK3	9606.ENSP00000306245	9606.ENSP00000263025	0	0	0	0	0.055	0.450	0.900	0.907	0.994
FOS	STAT3	9606.ENSP00000306245	9606.ENSP00000264657	0	0	0	0	0.132	0.429	0.500	0.984	0.995
FOS	FOSL2	9606.ENSP00000306245	9606.ENSP00000264716	0	0	0	0.895	0.132	0	0.900	0.984	0.998
FOS	TP53	9606.ENSP00000306245	9606.ENSP00000269305	0	0	0	0	0.053	0.230	0.500	0.884	0.952
FOS	RELA	9606.ENSP00000306245	9606.ENSP00000384273	0	0	0	0	0.101	0.528	0	0.820	0.917
FOS	PRKCB	9606.ENSP00000306245	9606.ENSP00000496129	0	0	0	0	0.056	0	0.900	0.319	0.930
FOS	PRKCA	9606.ENSP00000306245	9606.ENSP00000408695	0	0	0	0	0.049	0	0.900	0.480	0.946
FOS	MYC	9606.ENSP00000306245	9606.ENSP00000478887	0	0	0	0	0.134	0.221	0.400	0.924	0.965
FOS	MAPK8	9606.ENSP00000306245	9606.ENSP00000378974	0	0	0	0	0	0.174	0.900	0.849	0.986
FOS	RUNX2	9606.ENSP00000306245	9606.ENSP00000360493	0	0	0	0	0.052	0.510	0.900	0.761	0.987
FOSL2	MAPK8	9606.ENSP00000264716	9606.ENSP00000378974	0	0	0	0	0.054	0.174	0.900	0.397	0.946
GJA1	MAPK1	9606.ENSP00000282561	9606.ENSP00000215832	0	0	0	0	0	0.292	0.900	0.269	0.943
GJA1	MAPK3	9606.ENSP00000282561	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0.499	0.947
GSK3B	TP53	9606.ENSP00000324806	9606.ENSP00000269305	0	0	0	0	0	0.633	0	0.981	0.992
GSK3B	HSF1	9606.ENSP00000324806	9606.ENSP00000431512	0	0	0	0	0.047	0.516	0.750	0.268	0.904
GSK3B	NFE2L2	9606.ENSP00000324806	9606.ENSP00000380252	0	0	0	0	0.049	0.547	0.750	0.620	0.953
GSK3B	HSP90AA1	9606.ENSP00000324806	9606.ENSP00000335153	0	0	0	0	0.054	0.639	0	0.887	0.958
GSK3B	MYC	9606.ENSP00000324806	9606.ENSP00000478887	0	0	0	0	0	0.822	0.900	0.839	0.996
GSR	NFE2L2	9606.ENSP00000221130	9606.ENSP00000380252	0	0	0	0	0.049	0	0.750	0.731	0.930
GSR	GSTM2	9606.ENSP00000221130	9606.ENSP00000241337	0	0	0	0	0.056	0	0.900	0.431	0.941
GSR	GSTM1	9606.ENSP00000221130	9606.ENSP00000311469	0	0	0	0	0.056	0	0.900	0.468	0.945
GSR	GSTP1	9606.ENSP00000221130	9606.ENSP00000381607	0	0	0	0	0.069	0	0.900	0.527	0.952
GSTM1	GSTM2	9606.ENSP00000311469	9606.ENSP00000241337	0	0	0.050	0.981	0.999	0.695	0.650	0.058	0.999
GSTM1	SPP1	9606.ENSP00000311469	9606.ENSP00000378517	0	0	0	0	0	0	0	0.981	0.981
GSTP1	MAPK8	9606.ENSP00000381607	9606.ENSP00000378974	0	0	0	0	0.042	0.805	0	0.875	0.974
HIF1A	MAPK1	9606.ENSP00000437955	9606.ENSP00000215832	0	0	0	0	0.049	0.626	0.900	0.648	0.985
HIF1A	MDM2	9606.ENSP00000437955	9606.ENSP00000258149	0	0	0	0	0.060	0.839	0	0.929	0.988
HIF1A	MAPK3	9606.ENSP00000437955	9606.ENSP00000263025	0	0	0	0	0	0.045	0.900	0.703	0.969
HIF1A	STAT3	9606.ENSP00000437955	9606.ENSP00000264657	0	0	0	0	0.115	0.738	0.750	0.923	0.994
HIF1A	TP53	9606.ENSP00000437955	9606.ENSP00000269305	0	0	0	0	0	0.847	0	0.994	0.999
HIF1A	HSP90AA1	9606.ENSP00000437955	9606.ENSP00000335153	0	0	0	0	0.131	0.923	0	0.994	0.999
HIF1A	RELA	9606.ENSP00000437955	9606.ENSP00000384273	0	0	0	0	0.079	0.292	0	0.985	0.989
HIF1A	MYC	9606.ENSP00000437955	9606.ENSP00000478887	0	0	0	0	0.091	0.435	0.400	0.982	0.993
HMGCR	SREBF1	9606.ENSP00000287936	9606.ENSP00000348069	0	0	0	0	0.056	0	0.500	0.915	0.956
HMOX1	NQO1	9606.ENSP00000216117	9606.ENSP00000319788	0	0	0	0	0.061	0	0	0.914	0.916
HMOX1	NFE2L2	9606.ENSP00000216117	9606.ENSP00000380252	0	0	0	0	0.050	0	0.750	0.960	0.989
HSF1	HSP90AA1	9606.ENSP00000431512	9606.ENSP00000335153	0	0	0	0	0.049	0.870	0.700	0.956	0.998
HSP90AA1	MAPK1	9606.ENSP00000335153	9606.ENSP00000215832	0	0	0	0	0.057	0.113	0.400	0.897	0.941
HSP90AA1	HSPB1	9606.ENSP00000335153	9606.ENSP00000248553	0	0	0	0	0.274	0.292	0	0.924	0.957
HSP90AA1	MDM2	9606.ENSP00000335153	9606.ENSP00000258149	0	0	0	0	0.049	0.539	0	0.810	0.909
HSP90AA1	KDR	9606.ENSP00000335153	9606.ENSP00000263923	0	0	0	0	0	0.313	0.500	0.878	0.954
HSP90AA1	STAT3	9606.ENSP00000335153	9606.ENSP00000264657	0	0	0	0	0.093	0.292	0.500	0.923	0.971
HSP90AA1	TP53	9606.ENSP00000335153	9606.ENSP00000269305	0	0	0	0	0	0.903	0	0.995	0.999
HSP90AA1	NOS3	9606.ENSP00000335153	9606.ENSP00000297494	0	0	0	0	0	0.789	0.800	0.992	0.999
HSP90AA1	HSPA5	9606.ENSP00000335153	9606.ENSP00000324173	0	0.001	0	0	0.379	0.462	0	0.912	0.968
HSP90AA1	MYC	9606.ENSP00000335153	9606.ENSP00000478887	0	0	0	0	0.062	0.606	0	0.939	0.975
HSP90AA1	IKBKB	9606.ENSP00000335153	9606.ENSP00000430684	0	0	0	0	0.060	0.643	0	0.933	0.975
HSPA5	SOD1	9606.ENSP00000324173	9606.ENSP00000270142	0	0	0	0	0.093	0.236	0.900	0.691	0.975
HSPB1	MAPK14	9606.ENSP00000248553	9606.ENSP00000229795	0	0	0	0	0.085	0.316	0.500	0.747	0.910
HSPB1	TP53	9606.ENSP00000248553	9606.ENSP00000269305	0	0	0	0	0	0.776	0	0.809	0.955
ICAM1	IFNG	9606.ENSP00000264832	9606.ENSP00000229135	0	0	0	0	0.061	0.164	0	0.885	0.902
ICAM1	IL1B	9606.ENSP00000264832	9606.ENSP00000263341	0	0	0	0	0.271	0	0	0.885	0.912
ICAM1	TNF	9606.ENSP00000264832	9606.ENSP00000398698	0	0	0	0	0.255	0	0	0.929	0.944
ICAM1	IL6	9606.ENSP00000264832	9606.ENSP00000385675	0	0	0	0	0.270	0	0	0.931	0.947
ICAM1	SELE	9606.ENSP00000264832	9606.ENSP00000331736	0	0	0	0	0.170	0	0	0.941	0.949
ICAM1	VCAM1	9606.ENSP00000264832	9606.ENSP00000294728	0	0	0	0	0.146	0	0	0.999	0.999
IFNG	STAT3	9606.ENSP00000229135	9606.ENSP00000264657	0	0	0	0	0.058	0	0	0.905	0.907
IFNG	IRF1	9606.ENSP00000229135	9606.ENSP00000245414	0	0	0	0	0.142	0	0	0.908	0.917
IFNG	IL2RA	9606.ENSP00000229135	9606.ENSP00000369293	0	0	0	0	0.382	0	0.650	0.860	0.967
IFNG	IL1A	9606.ENSP00000229135	9606.ENSP00000263339	0	0	0	0	0.166	0	0	0.966	0.971
IFNG	IL6	9606.ENSP00000229135	9606.ENSP00000385675	0	0	0	0	0.128	0	0	0.981	0.983
IFNG	STAT1	9606.ENSP00000229135	9606.ENSP00000354394	0	0	0	0	0.131	0	0.500	0.971	0.986
IFNG	IL4	9606.ENSP00000229135	9606.ENSP00000231449	0	0	0	0	0.110	0	0	0.990	0.990
IFNG	TNF	9606.ENSP00000229135	9606.ENSP00000398698	0	0	0	0	0.202	0	0	0.990	0.991
IFNG	IL10	9606.ENSP00000229135	9606.ENSP00000412237	0	0	0	0	0.566	0	0	0.989	0.995
IFNG	IL1B	9606.ENSP00000229135	9606.ENSP00000263341	0	0	0	0	0.273	0	0	0.997	0.998
IGF2	INSR	9606.ENSP00000391826	9606.ENSP00000303830	0	0	0	0	0	0.164	0.650	0.971	0.991
IGF2	IGFBP3	9606.ENSP00000391826	9606.ENSP00000370473	0	0	0	0	0.190	0.789	0.500	0.999	0.999
IGFBP3	TP53	9606.ENSP00000370473	9606.ENSP00000269305	0	0	0	0	0	0	0.750	0.622	0.901
IGFBP3	RXRA	9606.ENSP00000370473	9606.ENSP00000419692	0	0	0	0	0	0.292	0	0.907	0.931
IKBKB	NFKBIA	9606.ENSP00000430684	9606.ENSP00000216797	0	0	0	0	0.042	0.994	0.900	0.995	0.999
IKBKB	TP53	9606.ENSP00000430684	9606.ENSP00000269305	0	0	0	0	0.076	0.510	0.500	0.739	0.933
IKBKB	RELA	9606.ENSP00000430684	9606.ENSP00000384273	0	0	0	0	0.067	0.877	0.900	0.957	0.999
IKBKB	TNF	9606.ENSP00000430684	9606.ENSP00000398698	0	0	0	0	0.089	0.994	0.500	0.934	0.999
IL10	IL4	9606.ENSP00000412237	9606.ENSP00000231449	0	0	0	0	0.043	0	0	0.986	0.986
IL10	IL1A	9606.ENSP00000412237	9606.ENSP00000263339	0	0	0	0	0.209	0	0.400	0.944	0.971
IL10	IL1B	9606.ENSP00000412237	9606.ENSP00000263341	0	0	0	0	0.409	0	0.400	0.978	0.991
IL10	STAT3	9606.ENSP00000412237	9606.ENSP00000264657	0	0	0	0	0.057	0.301	0.500	0.916	0.968
IL10	IL2RA	9606.ENSP00000412237	9606.ENSP00000369293	0	0	0	0	0.201	0	0.650	0.910	0.972
IL10	IL6	9606.ENSP00000412237	9606.ENSP00000385675	0	0	0	0	0.130	0	0.800	0.988	0.997
IL10	TNF	9606.ENSP00000412237	9606.ENSP00000398698	0	0	0	0	0.234	0	0.400	0.984	0.992
IL1A	IL4	9606.ENSP00000263339	9606.ENSP00000231449	0	0	0	0	0.111	0	0.400	0.992	0.995
IL1A	IL6	9606.ENSP00000263339	9606.ENSP00000385675	0	0	0	0	0.376	0	0.400	0.974	0.989
IL1A	TNF	9606.ENSP00000263339	9606.ENSP00000398698	0	0	0	0	0.619	0	0.400	0.976	0.994
IL1A	IL1B	9606.ENSP00000263339	9606.ENSP00000263341	0	0	0	0	0.961	0	0.900	0.983	0.999
IL1B	NFKBIA	9606.ENSP00000263341	9606.ENSP00000216797	0	0	0	0	0.283	0	0	0.927	0.945
IL1B	IL4	9606.ENSP00000263341	9606.ENSP00000231449	0	0	0	0	0.072	0	0.400	0.998	0.998
IL1B	STAT3	9606.ENSP00000263341	9606.ENSP00000264657	0	0	0	0	0.069	0	0.500	0.877	0.938
IL1B	MMP9	9606.ENSP00000263341	9606.ENSP00000361405	0	0	0	0	0.275	0.051	0	0.932	0.949
IL1B	PTGS2	9606.ENSP00000263341	9606.ENSP00000356438	0	0	0	0	0.656	0	0	0.928	0.974
IL1B	RELA	9606.ENSP00000263341	9606.ENSP00000384273	0	0	0	0	0.118	0	0.900	0.903	0.990
IL1B	IL6	9606.ENSP00000263341	9606.ENSP00000385675	0	0	0	0	0.515	0	0.400	0.989	0.996
IL1B	TNF	9606.ENSP00000263341	9606.ENSP00000398698	0	0	0	0	0.616	0	0.400	0.993	0.998
IL2RA	IL4	9606.ENSP00000369293	9606.ENSP00000231449	0	0	0	0	0.074	0	0.650	0.957	0.984
IL2RA	IL6	9606.ENSP00000369293	9606.ENSP00000385675	0	0	0	0	0.074	0	0.650	0.869	0.953
IL4	STAT3	9606.ENSP00000231449	9606.ENSP00000264657	0	0	0	0	0	0	0.500	0.848	0.920
IL4	TNF	9606.ENSP00000231449	9606.ENSP00000398698	0	0	0	0	0.055	0	0.400	0.963	0.977
IL4	IL6	9606.ENSP00000231449	9606.ENSP00000385675	0	0	0	0	0.044	0	0.400	0.978	0.986
IL6	MAPK1	9606.ENSP00000385675	9606.ENSP00000215832	0	0	0	0	0.055	0	0.400	0.897	0.936
IL6	NFKBIA	9606.ENSP00000385675	9606.ENSP00000216797	0	0	0	0	0.175	0	0	0.915	0.927
IL6	MAPK3	9606.ENSP00000385675	9606.ENSP00000263025	0	0	0	0	0.055	0	0.400	0.846	0.905
IL6	STAT3	9606.ENSP00000385675	9606.ENSP00000264657	0	0	0	0	0.102	0.095	0.500	0.965	0.984
IL6	VCAM1	9606.ENSP00000385675	9606.ENSP00000294728	0	0	0	0	0.171	0	0	0.909	0.921
IL6	STAT1	9606.ENSP00000385675	9606.ENSP00000354394	0	0	0	0	0.110	0.087	0.500	0.941	0.972
IL6	PTGS2	9606.ENSP00000385675	9606.ENSP00000356438	0	0	0	0	0.484	0	0	0.926	0.960
IL6	MMP9	9606.ENSP00000385675	9606.ENSP00000361405	0	0	0	0	0.106	0	0.400	0.930	0.959
IL6	MAPK8	9606.ENSP00000385675	9606.ENSP00000378974	0	0	0	0	0	0	0	0.938	0.938
IL6	RELA	9606.ENSP00000385675	9606.ENSP00000384273	0	0	0	0	0.108	0.292	0.900	0.816	0.986
IL6	TNF	9606.ENSP00000385675	9606.ENSP00000398698	0	0	0	0	0.261	0	0.400	0.989	0.994
INSR	PRKCB	9606.ENSP00000303830	9606.ENSP00000496129	0	0	0	0.556	0	0.050	0.900	0.143	0.911
IRF1	STAT3	9606.ENSP00000245414	9606.ENSP00000264657	0	0	0	0	0.197	0.292	0	0.838	0.900
IRF1	MDM2	9606.ENSP00000245414	9606.ENSP00000258149	0	0	0	0	0.049	0.626	0.900	0.272	0.970
IRF1	STAT1	9606.ENSP00000245414	9606.ENSP00000354394	0	0	0	0	0.440	0.805	0.500	0.997	0.999
MAPK1	NCF1	9606.ENSP00000215832	9606.ENSP00000289473	0	0	0	0	0.058	0.113	0.900	0.193	0.923
MAPK1	PRKCB	9606.ENSP00000215832	9606.ENSP00000496129	0	0	0	0.591	0.126	0.102	0.900	0.196	0.928
MAPK1	PRKCA	9606.ENSP00000215832	9606.ENSP00000408695	0	0	0	0.594	0.127	0.102	0.900	0.233	0.931
MAPK1	STAT1	9606.ENSP00000215832	9606.ENSP00000354394	0	0	0	0	0.090	0.091	0.900	0.471	0.950
MAPK1	MYC	9606.ENSP00000215832	9606.ENSP00000478887	0	0	0	0	0	0.643	0.900	0.582	0.983
MAPK1	MAPK3	9606.ENSP00000215832	9606.ENSP00000263025	0	0	0.049	0.983	0.118	0.874	0.900	0.581	0.994
MAPK1	MAPK14	9606.ENSP00000215832	9606.ENSP00000229795	0	0	0.067	0.924	0.342	0.816	0.900	0.677	0.995
MAPK1	STAT3	9606.ENSP00000215832	9606.ENSP00000264657	0	0	0	0	0.060	0.926	0	0.950	0.996
MAPK1	TP53	9606.ENSP00000215832	9606.ENSP00000269305	0	0	0	0	0.045	0.806	0.900	0.912	0.998
MAPK14	MAPK8	9606.ENSP00000229795	9606.ENSP00000378974	0	0	0.061	0.922	0.110	0.292	0.900	0.366	0.955
MAPK14	MAPK3	9606.ENSP00000229795	9606.ENSP00000263025	0	0	0.068	0.922	0.131	0.780	0.900	0.484	0.989
MAPK14	TP53	9606.ENSP00000229795	9606.ENSP00000269305	0	0	0	0	0.046	0.818	0.900	0.744	0.994
MAPK3	TNF	9606.ENSP00000263025	9606.ENSP00000398698	0	0	0	0	0.062	0	0	0.921	0.922
MAPK3	PRKCB	9606.ENSP00000263025	9606.ENSP00000496129	0	0	0	0.588	0.062	0.102	0.900	0.468	0.949
MAPK3	PRKCA	9606.ENSP00000263025	9606.ENSP00000408695	0	0	0	0.589	0.062	0.102	0.900	0.542	0.956
MAPK3	STAT1	9606.ENSP00000263025	9606.ENSP00000354394	0	0	0	0	0.062	0.091	0.900	0.636	0.964
MAPK3	NCF1	9606.ENSP00000263025	9606.ENSP00000289473	0	0	0	0	0.070	0.113	0.900	0.632	0.965
MAPK3	MYC	9606.ENSP00000263025	9606.ENSP00000478887	0	0	0	0	0	0.292	0.900	0.829	0.986
MAPK3	TP53	9606.ENSP00000263025	9606.ENSP00000269305	0	0	0	0	0.060	0.626	0.900	0.871	0.994
MAPK8	STAT3	9606.ENSP00000378974	9606.ENSP00000264657	0	0	0	0	0.044	0.625	0	0.745	0.900
MAPK8	TP53	9606.ENSP00000378974	9606.ENSP00000269305	0	0	0	0	0.086	0.845	0.900	0.861	0.997
MAPK8	RELA	9606.ENSP00000378974	9606.ENSP00000384273	0	0	0	0	0.054	0.045	0.900	0.758	0.975
MCL1	TP53	9606.ENSP00000358022	9606.ENSP00000269305	0	0	0	0	0.055	0.311	0	0.884	0.918
MDM2	XIAP	9606.ENSP00000258149	9606.ENSP00000360242	0	0	0	0	0.264	0.596	0	0.782	0.929
MDM2	RB1	9606.ENSP00000258149	9606.ENSP00000267163	0	0	0	0	0.042	0.889	0.900	0.925	0.999
MDM2	TP53	9606.ENSP00000258149	9606.ENSP00000269305	0	0	0	0	0.116	0.999	0.900	0.999	0.999
MET	STAT3	9606.ENSP00000317272	9606.ENSP00000264657	0	0	0	0	0.063	0.332	0.500	0.948	0.981
